�date�,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,golden_jubilee_nationalhospital,scotland
26/03/2020,31,*,12,25,33,*,N/A,32,N/A,13,*,*,24,*,*,179
27/03/2020,25,19,18,28,33,*,N/A,22,51,42,*,*,25,*,*,268
28/03/2020,31,20,28,20,33,*,N/A,31,48,22,*,*,29,*,5,271
29/03/2020,24,17,24,33,50,*,N/A,27,60,18,*,*,28,*,6,294
30/03/2020,17,17,21,40,58,*,N/A,25,66,9,*,*,28,*,6,297
31/03/2020,20,13,18,22,58,*,N/A,32,68,46,*,*,28,5,5,321
01/04/2020,30,24,27,26,57,*,N/A,38,46,50,*,*,28,*,5,338
02/04/2020,32,25,27,33,52,*,N/A,24,71,69,*,*,25,*,*,367
03/04/2020,29,20,21,19,43,*,N/A,22,79,66,*,*,18,*,*,323
04/04/2020,32,21,16,31,36,*,N/A,27,90,74,5,*,37,*,*,376
05/04/2020,38,17,20,33,29,*,N/A,16,88,104,*,*,35,*,*,386
06/04/2020,34,10,26,20,51,*,N/A,26,88,95,*,*,26,*,*,384
07/04/2020,49,15,13,42,59,*,N/A,27,78,82,*,*,34,*,*,405
08/04/2020,28,17,24,31,48,*,N/A,27,73,71,*,*,29,*,5,356
09/04/2020,31,21,18,36,50,*,N/A,26,68,65,*,*,15,*,*,341
10/04/2020,48,19,25,37,33,*,N/A,12,91,72,*,*,18,*,6,371
11/04/2020,64,18,36,32,40,*,N/A,16,76,62,*,*,26,*,5,388
12/04/2020,28,6,19,23,33,13,N/A,13,60,44,*,*,19,*,*,268
13/04/2020,35,13,28,20,35,12,N/A,16,74,54,*,*,23,*,*,315
14/04/2020,40,15,21,18,37,8,N/A,15,74,42,*,*,12,*,*,287
15/04/2020,43,13,16,13,40,5,N/A,12,58,38,*,*,17,*,*,261
16/04/2020,30,23,11,29,46,15,N/A,11,49,67,*,*,28,*,6,318
17/04/2020,37,13,10,26,33,16,N/A,13,82,49,*,*,20,*,6,312
18/04/2020,37,10,8,28,26,9,N/A,13,79,50,*,*,19,*,8,292
19/04/2020,31,14,15,22,28,8,N/A,20,69,51,*,*,8,*,8,277
20/04/2020,34,14,13,15,40,11,N/A,12,69,44,*,*,23,*,7,289
21/04/2020,34,15,14,36,48,16,N/A,25,77,88,*,5,21,*,10,394
22/04/2020,24,14,11,35,40,23,N/A,29,86,47,*,*,24,*,9,344
23/04/2020,26,6,20,28,49,31,N/A,17,70,47,*,*,26,*,5,325
